index,filename,smiles,molecular_weight,logp,num_atoms,num_rings,num_rotatable_bonds
1,3-Pyridineacetic_acid.sdf,O=C(O)Cc1cccnc1,137.14,0.71,10,1,2
2,Aconine.sdf,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]2[C@H](OC)[C@H]([C@@H]13)[C@@]1(O)[C@@H]2[C@H](O)[C@@](O)(C[C@@H]24)[C@H](OC)[C@@H]1O,499.60,-1.79,35,6,6
3,Apararenone.sdf,CC1(C)Oc2cc(NS(C)(=O)=O)ccc2N(c2ccc(F)cc2)C1=O,364.40,3.03,25,3,3
4,Arecaidine.sdf,CN1CCC=C(C(=O)O)C1,141.17,0.33,10,1,1
5,Caudatin.sdf,CC(=O)[C@@]1(O)CC[C@@]2(O)[C@]1(C)[C@H](OC(=O)/C=C(\C)C(C)C)C[C@@H]1[C@@]3(C)CC[C@H](O)CC3=CC[C@]12O,490.64,2.98,35,4,4
6,Diltiazem_HCl.cdx.sdf,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,414.53,3.37,29,3,6
7,Gitogenin.sdf,C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@H]4CC[C@@H]5C[C@H](O)[C@H](O)C[C@]5(C)[C@@H]4CC[C@]3(C)[C@H]1[C@@H]2C,432.65,4.76,31,6,0
8,HC_030031.cdx.sdf,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,355.40,1.20,26,3,4
9,INH1.cdx.sdf,Cc1ccc(-c2csc(NC(=O)c3ccccc3)n2)c(C)c1,308.41,4.68,22,3,3
10,K-RasG12C_inhibitor_6.cdx.sdf,O=C(CCCS)NC1CCN(C(=O)COc2ccccc2)CC1,336.46,1.88,23,2,7
11,LEXXEL_enalapril_maleate.cdx.sdf,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O,492.53,1.32,35,2,11
12,ONC206.sdf,O=C1C2=C(CCN(Cc3ccccc3)C2)N2CCN=C2N1Cc1ccc(F)cc1F,408.45,3.14,30,5,4
13,OSI_420.cdx.sdf,C#Cc1cccc([N]c2ncnc3cc(OCCOC)c(OCCO)cc23)c1,378.41,2.58,28,3,9
14,Oclacitinib_maleate.cdx.sdf,CNS(=O)(=O)C[C@H]1CC[C@H](N(C)c2ncnc3[nH]ccc23)CC1.O=C(O)/C=C\C(=O)O,453.52,1.21,31,3,7
15,Omeprazole.cdx.sdf,COc1ccc2[nH]c([S@@](=O)Cc3ncc(C)c(OC)c3C)nc2c1,345.42,2.90,24,3,5
16,Oxyimperatorin.sdf,CC1(C)O[C@@H]1COc1c2occc2cc2ccc(=O)oc12,286.28,3.10,21,4,3
17,PF-6260933.sdf,Nc1ccc(-c2cnc(N)c(-c3ccccc3)c2)cn1,262.32,2.98,20,3,2
18,PIK-294.cdx.sdf,Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,489.54,4.15,37,6,4
19,Pranlukast.cdx.sdf,O=C(Nc1ccc2c(=O)cc(-c3nnn[nH]3)oc2c1)c1ccc(OCCCCc2ccccc2)cc1,481.51,4.63,36,5,9
20,S3862_Gallic_acid_trimethyl_ether.cdx.sdf,COc1cc(C(=O)O)cc(OC)c1OC,212.20,1.41,15,1,4
21,S3896_DACH-BOC.cdx.sdf,CC(C)(C)OC(=O)N[C@@H]1CCCC[C@H]1N,214.31,1.78,15,1,1
22,S5053_Imazalil.cdx.sdf,C=CCO[C@H](Cn1ccnc1)c1ccccc1,228.30,2.83,17,2,6
23,S5079_Sitagliptin.cdx.sdf,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,407.32,2.02,28,3,4
24,S5143_Citropten.cdx.sdf,COc1cc(OC)c2ccc(=O)oc2c1,206.20,1.81,15,2,2
25,S5346_2-Phenylethylamine_hydrochloride.cdx.sdf,NCCc1ccccc1,121.18,1.19,9,1,2
26,SHP099.sdf,CC1(N)CCN(c2cnc(-c3ccccc3)c(N)n2)CC1,283.38,2.04,21,3,2
27,VIOXX_rofecoxib.cdx.sdf,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,314.36,2.56,22,3,3
28,WAY-310445.sdf,Cn1c(=O)c2c(nc(NCCc3ccccc3)n2C)n(C)c1=O,313.36,0.63,23,3,4
29,matrine.cdx.sdf,O=C1CCC[C@H]2[C@@H]3CCCN4CCC[C@H](CN12)[C@H]34,248.37,1.87,18,4,0
30,real_ligand.sdf,CCCCCC[C@H]1CCC(OC2CCCCC2Br)C(O)C1,361.36,5.21,21,2,7
